census_birth_death
,CTYNAME,CENSUS2010POP,BIRTHS2010,DEATHS2010,STNAME,Births,Deaths
1226,Harford County,244826,685,466,Maryland,280,190
1227,Howard County,287085,913,393,Maryland,318,137
1228,Kent County,20197,41,43,Maryland,203,213
1229,Montgomery County,971777,3425,1476,Maryland,352,152
1230,Prince George's County,863420,3019,1295,Maryland,350,150
1231,Queen Anne's County,47798,115,123,Maryland,241,257
1232,St. Mary's County,105151,363,202,Maryland,345,192
1233,Somerset County,26470,66,96,Maryland,249,363
1234,Talbot County,37782,93,72,Maryland,246,191
1235,Washington County,147430,425,364,Maryland,288,247
1236,Wicomico County,98733,328,153,Maryland,332,155
1237,Worcester County,51454,114,119,Maryland,222,231
1238,Baltimore city,620961,2119,1429,Maryland,341,230
1240,Barnstable County,215888,445,707,Massachusetts,206,327
1241,Berkshire County,131219,265,289,Massachusetts,202,220
1242,Bristol County,548285,1476,1088,Massachusetts,269,198
1243,Dukes County,16535,42,19,Massachusetts,254,115
1244,Essex County,743159,2176,1390,Massachusetts,293,187
1245,Franklin County,71372,153,144,Massachusetts,214,202
1246,Hampden County,463490,1327,1071,Massachusetts,286,231
1247,Hampshire County,158080,302,270,Massachusetts,191,171
1248,Middlesex County,1503085,4696,2525,Massachusetts,312,168
1249,Nantucket County,10172,44,9,Massachusetts,433,88
1250,Norfolk County,670850,1894,1322,Massachusetts,282,197
1251,Plymouth County,494919,1294,955,Massachusetts,261,193
1252,Suffolk County,722023,2264,1030,Massachusetts,314,143
1253,Worcester County,798552,2267,1484,Massachusetts,284,186
1255,Alcona County,10942,20,65,Michigan,183,594
1256,Alger County,9601,14,15,Michigan,146,156
1257,Allegan County,111408,339,192,Michigan,304,172
1258,Alpena County,29598,65,113,Michigan,220,382
1259,Antrim County,23580,41,81,Michigan,174,344
1260,Arenac County,15899,19,60,Michigan,120,377
1261,Baraga County,8860,22,11,Michigan,248,124
1262,Barry County,59173,157,97,Michigan,265,164
1263,Bay County,107771,297,310,Michigan,276,288
1264,Benzie County,17525,37,56,Michigan,211,320
1265,Berrien County,156813,481,426,Michigan,307,272
1266,Branch County,45248,132,77,Michigan,292,170
1267,Calhoun County,136146,408,453,Michigan,300,333
1268,Cass County,52293,106,104,Michigan,203,199
1269,Charlevoix County,25949,54,43,Michigan,208,166
1270,Cheboygan County,26152,49,96,Michigan,187,367
1271,Chippewa County,38520,87,96,Michigan,226,249
1272,Clare County,30926,92,72,Michigan,297,233
1273,Clinton County,75382,197,152,Michigan,261,202
1274,Crawford County,14074,35,46,Michigan,249,327
1275,Delta County,37069,81,115,Michigan,219,310
1276,Dickinson County,26168,58,44,Michigan,222,168
1277,Eaton County,107759,283,242,Michigan,263,225
1278,Emmet County,32694,61,97,Michigan,187,297
1279,Genesee County,425790,1314,1101,Michigan,309,259
1280,Gladwin County,25692,62,54,Michigan,241,210
1281,Gogebic County,16427,31,38,Michigan,189,231
1282,Grand Traverse County,86986,230,186,Michigan,264,214
1283,Gratiot County,42476,112,122,Michigan,264,287
1284,Hillsdale County,46688,141,115,Michigan,302,246
1285,Houghton County,36628,110,64,Michigan,300,175
1286,Huron County,33118,92,85,Michigan,278,257
1287,Ingham County,280895,826,374,Michigan,294,133
1288,Ionia County,63905,201,169,Michigan,315,264
1289,Iosco County,25887,59,69,Michigan,228,267
1290,Iron County,11817,19,24,Michigan,161,203
1291,Isabella County,70311,176,136,Michigan,250,193
1292,Jackson County,160248,481,425,Michigan,300,265
1293,Kalamazoo County,250331,784,447,Michigan,313,179
1294,Kalkaska County,17153,46,24,Michigan,268,140
1295,Kent County,602622,2228,1051,Michigan,370,174
1296,Keweenaw County,2156,2,1,Michigan,93,46
1297,Lake County,11539,23,46,Michigan,199,399
1298,Lapeer County,88319,230,181,Michigan,260,205
1299,Leelanau County,21708,39,72,Michigan,180,332
1300,Lenawee County,99892,261,236,Michigan,261,236
1301,Livingston County,180967,480,257,Michigan,265,142
1302,Luce County,6631,23,23,Michigan,347,347
1303,Mackinac County,11113,26,22,Michigan,234,198
1304,Macomb County,840978,2358,1872,Michigan,280,223
1305,Manistee County,24733,68,89,Michigan,275,360
1306,Marquette County,67077,157,170,Michigan,234,253
1307,Mason County,28705,79,53,Michigan,275,185
1308,Mecosta County,42798,115,81,Michigan,269,189
1309,Menominee County,24029,48,80,Michigan,200,333
1310,Midland County,83629,221,136,Michigan,264,163
1311,Missaukee County,14849,36,55,Michigan,242,370
1312,Monroe County,152021,428,357,Michigan,282,235
1313,Montcalm County,63342,214,152,Michigan,338,240
1314,Montmorency County,9765,15,19,Michigan,154,195
1315,Muskegon County,172188,550,394,Michigan,319,229
1316,Newaygo County,48460,120,138,Michigan,248,285
1317,Oakland County,1202362,3349,2259,Michigan,279,188
1318,Oceana County,26570,83,97,Michigan,312,365
1319,Ogemaw County,21699,48,96,Michigan,221,442
1320,Ontonagon County,6780,13,14,Michigan,192,206
1321,Osceola County,23528,66,79,Michigan,281,336
1322,Oscoda County,8640,13,50,Michigan,150,579
1323,Otsego County,24164,66,76,Michigan,273,315
1324,Ottawa County,263801,916,425,Michigan,347,161
1325,Presque Isle County,13376,24,68,Michigan,179,508
1326,Roscommon County,24449,59,120,Michigan,241,491
1327,Saginaw County,200169,584,546,Michigan,292,273
1328,St. Clair County,163040,406,431,Michigan,249,264
1329,St. Joseph County,61295,216,123,Michigan,352,201
1330,Sanilac County,43114,133,84,Michigan,308,195
1331,Schoolcraft County,8485,18,31,Michigan,212,365
1332,Shiawassee County,70648,178,145,Michigan,252,205
1333,Tuscola County,55729,155,104,Michigan,278,187
1334,Van Buren County,76258,233,189,Michigan,306,248
1335,Washtenaw County,344791,975,547,Michigan,283,159
1336,Wayne County,1820584,5916,4546,Michigan,325,250
1337,Wexford County,32735,109,97,Michigan,333,296
1339,Aitkin County,16202,30,41,Minnesota,185,253
1340,Anoka County,330844,1084,461,Minnesota,328,139
1341,Becker County,32504,102,68,Minnesota,314,209
1342,Beltrami County,44442,181,68,Minnesota,407,153
1343,Benton County,38451,151,97,Minnesota,393,252
1344,Big Stone County,5269,15,9,Minnesota,285,171
1345,Blue Earth County,64013,207,95,Minnesota,323,148
1346,Brown County,25893,57,85,Minnesota,220,328
1347,Carlton County,35386,104,74,Minnesota,294,209
1348,Carver County,91042,312,124,Minnesota,343,136
1349,Cass County,28567,96,53,Minnesota,336,186
1350,Chippewa County,12441,38,46,Minnesota,305,370
1351,Chisago County,53887,137,68,Minnesota,254,126
1352,Clay County,58999,201,117,Minnesota,341,198
1353,Clearwater County,8695,23,12,Minnesota,265,138
1354,Cook County,5176,6,16,Minnesota,116,309
1355,Cottonwood County,11687,33,23,Minnesota,282,197
1356,Crow Wing County,62500,207,159,Minnesota,331,254
1357,Dakota County,398552,1322,482,Minnesota,332,121
1358,Dodge County,20087,71,26,Minnesota,353,129
1359,Douglas County,36009,99,101,Minnesota,275,280
1360,Faribault County,14553,27,59,Minnesota,186,405
1361,Fillmore County,20866,63,29,Minnesota,302,139
1362,Freeborn County,31255,94,107,Minnesota,301,342
1363,Goodhue County,46183,147,121,Minnesota,318,262
1364,Grant County,6018,17,30,Minnesota,282,499
1365,Hennepin County,1152425,4035,1842,Minnesota,350,160
1366,Houston County,19027,36,26,Minnesota,189,137
1367,Hubbard County,20428,60,58,Minnesota,294,284
1368,Isanti County,37816,125,82,Minnesota,331,217
1369,Itasca County,45058,101,91,Minnesota,224,202
1370,Jackson County,10266,22,20,Minnesota,214,195
1371,Kanabec County,16239,37,51,Minnesota,228,314
1372,Kandiyohi County,42239,135,116,Minnesota,320,275
1373,Kittson County,4552,9,7,Minnesota,198,154
1374,Koochiching County,13311,29,46,Minnesota,218,346
1375,Lac qui Parle County,7259,23,17,Minnesota,317,234
1376,Lake County,10866,36,51,Minnesota,331,469
1377,Lake of the Woods County,4045,3,17,Minnesota,74,420
1378,Le Sueur County,27703,102,30,Minnesota,368,108
1379,Lincoln County,5896,20,32,Minnesota,339,543
1380,Lyon County,25857,90,67,Minnesota,348,259
1381,McLeod County,36651,111,105,Minnesota,303,286
1382,Mahnomen County,5413,28,5,Minnesota,517,92
1383,Marshall County,9439,33,13,Minnesota,350,138
1384,Martin County,20840,47,81,Minnesota,226,389
1385,Meeker County,23300,78,32,Minnesota,335,137
1386,Mille Lacs County,26097,95,87,Minnesota,364,333
1387,Morrison County,33198,105,44,Minnesota,316,133
1388,Mower County,39163,127,61,Minnesota,324,156
1389,Murray County,8725,32,38,Minnesota,367,436
1390,Nicollet County,32727,96,49,Minnesota,293,150
1391,Nobles County,21378,102,27,Minnesota,477,126
1392,Norman County,6852,17,34,Minnesota,248,496
1393,Olmsted County,144248,557,219,Minnesota,386,152
1394,Otter Tail County,57303,163,165,Minnesota,284,288
1395,Pennington County,13930,53,15,Minnesota,380,108
1396,Pine County,29750,66,85,Minnesota,222,286
1397,Pipestone County,9596,35,14,Minnesota,365,146
1398,Polk County,31600,86,62,Minnesota,272,196
1399,Pope County,10995,22,21,Minnesota,200,191
1400,Ramsey County,508640,1845,920,Minnesota,363,181
1401,Red Lake County,4089,17,12,Minnesota,416,293
1402,Redwood County,16059,50,23,Minnesota,311,143
1403,Renville County,15730,51,43,Minnesota,324,273
1404,Rice County,64142,151,79,Minnesota,235,123
1405,Rock County,9687,36,50,Minnesota,372,516
1406,Roseau County,15629,59,41,Minnesota,378,262
1407,St. Louis County,200226,492,485,Minnesota,246,242
1408,Scott County,129928,510,107,Minnesota,393,82
1409,Sherburne County,88499,327,68,Minnesota,369,77
1410,Sibley County,15226,46,21,Minnesota,302,138
1411,Stearns County,150642,485,226,Minnesota,322,150
1412,Steele County,36576,123,91,Minnesota,336,249
1413,Stevens County,9726,33,38,Minnesota,339,391
1414,Swift County,9783,25,38,Minnesota,256,388
1415,Todd County,24895,77,33,Minnesota,309,133
1416,Traverse County,3558,9,21,Minnesota,253,590
1417,Wabasha County,21676,61,28,Minnesota,281,129
1418,Wadena County,13843,47,64,Minnesota,340,462
1419,Waseca County,19136,53,23,Minnesota,277,120
1420,Washington County,238136,767,336,Minnesota,322,141
1421,Watonwan County,11211,27,40,Minnesota,241,357
1422,Wilkin County,6576,20,6,Minnesota,304,91
1423,Winona County,51461,121,69,Minnesota,235,134
1424,Wright County,124700,500,185,Minnesota,401,148
1425,Yellow Medicine County,10438,24,33,Minnesota,230,316
1427,Adams County,32297,80,66,Mississippi,248,204
1428,Alcorn County,37057,107,78,Mississippi,289,210
1429,Amite County,13131,31,11,Mississippi,236,84
1430,Attala County,19564,55,100,Mississippi,281,511
1431,Benton County,8729,20,38,Mississippi,229,435
1432,Bolivar County,34145,125,74,Mississippi,366,217
1433,Calhoun County,14962,49,19,Mississippi,327,127
1434,Carroll County,10597,16,7,Mississippi,151,66
1435,Chickasaw County,17392,85,23,Mississippi,489,132
1436,Choctaw County,8547,30,11,Mississippi,351,129
1437,Claiborne County,9604,35,9,Mississippi,364,94
1438,Clarke County,16732,46,21,Mississippi,275,126
1439,Clay County,20634,49,80,Mississippi,237,388
1440,Coahoma County,26151,117,95,Mississippi,447,363
1441,Copiah County,29449,88,43,Mississippi,299,146
1442,Covington County,19568,72,85,Mississippi,368,434
1443,DeSoto County,161252,488,219,Mississippi,303,136
1444,Forrest County,74934,262,128,Mississippi,350,171
1445,Franklin County,8118,21,36,Mississippi,259,443
1446,George County,22578,92,88,Mississippi,407,390
1447,Greene County,14400,33,11,Mississippi,229,76
1448,Grenada County,21906,56,94,Mississippi,256,429
1449,Hancock County,43929,121,135,Mississippi,275,307
1450,Harrison County,187105,669,432,Mississippi,358,231
1451,Hinds County,245285,823,403,Mississippi,336,164
1452,Holmes County,19198,81,69,Mississippi,422,359
1453,Humphreys County,9375,36,14,Mississippi,384,149
1454,Issaquena County,1406,6,10,Mississippi,427,711
1455,Itawamba County,23401,61,56,Mississippi,261,239
1456,Jackson County,139668,390,350,Mississippi,279,251
1457,Jasper County,17062,55,22,Mississippi,322,129
1458,Jefferson County,7726,21,5,Mississippi,272,65
1459,Jefferson Davis County,12487,35,13,Mississippi,280,104
1460,Jones County,67761,217,195,Mississippi,320,288
1461,Kemper County,10456,19,9,Mississippi,182,86
1462,Lafayette County,47351,147,60,Mississippi,310,127
1463,Lamar County,55658,170,116,Mississippi,305,208
1464,Lauderdale County,80261,256,179,Mississippi,319,223
1465,Lawrence County,12929,43,19,Mississippi,333,147
1466,Leake County,23805,63,88,Mississippi,265,370
1467,Lee County,82910,274,257,Mississippi,330,310
1468,Leflore County,32317,139,47,Mississippi,430,145
1469,Lincoln County,34869,105,66,Mississippi,301,189
1470,Lowndes County,59779,177,138,Mississippi,296,231
1471,Madison County,95203,274,210,Mississippi,288,221
1472,Marion County,27088,70,127,Mississippi,258,469
1473,Marshall County,37144,101,138,Mississippi,272,372
1474,Monroe County,36989,104,62,Mississippi,281,168
1475,Montgomery County,10925,35,65,Mississippi,320,595
1476,Neshoba County,29676,112,63,Mississippi,377,212
1477,Newton County,21720,59,98,Mississippi,272,451
1478,Noxubee County,11545,32,54,Mississippi,277,468
1479,Oktibbeha County,47671,144,33,Mississippi,302,69
1480,Panola County,34707,118,132,Mississippi,340,380
1481,Pearl River County,55834,166,161,Mississippi,297,288
1482,Perry County,12250,35,55,Mississippi,286,449
1483,Pike County,40404,144,83,Mississippi,356,205
1484,Pontotoc County,29957,127,95,Mississippi,424,317
1485,Prentiss County,25276,84,52,Mississippi,332,206
1486,Quitman County,8223,18,43,Mississippi,219,523
1487,Rankin County,141617,449,207,Mississippi,317,146
1488,Scott County,28264,106,46,Mississippi,375,163
1489,Sharkey County,4916,19,3,Mississippi,386,61
1490,Simpson County,27503,92,43,Mississippi,335,156
1491,Smith County,16491,58,15,Mississippi,352,91
1492,Stone County,17786,54,25,Mississippi,304,141
1493,Sunflower County,29450,90,38,Mississippi,306,129
1494,Tallahatchie County,15378,44,61,Mississippi,286,397
1495,Tate County,28886,76,39,Mississippi,263,135
1496,Tippah County,22232,67,90,Mississippi,301,405
1497,Tishomingo County,19593,52,42,Mississippi,265,214
1498,Tunica County,10778,48,10,Mississippi,445,93
1499,Union County,27134,78,73,Mississippi,287,269
1500,Walthall County,15443,50,65,Mississippi,324,421
1501,Warren County,48773,158,76,Mississippi,324,156
1502,Washington County,51137,190,95,Mississippi,372,186
1503,Wayne County,20747,77,51,Mississippi,371,246
1504,Webster County,10253,35,49,Mississippi,341,478
1505,Wilkinson County,9878,28,13,Mississippi,283,132
1506,Winston County,19198,46,27,Mississippi,240,141
1507,Yalobusha County,12678,31,55,Mississippi,245,434
1508,Yazoo County,28065,87,35,Mississippi,310,125
1510,Adair County,25607,68,29,Missouri,266,113
1511,Andrew County,17291,31,36,Missouri,179,208
1512,Atchison County,5685,11,13,Missouri,193,229
1513,Audrain County,25529,91,103,Missouri,356,403
1514,Barry County,35597,95,124,Missouri,267,348
1515,Barton County,12402,24,19,Missouri,194,153
1516,Bates County,17049,48,62,Missouri,282,364
1517,Benton County,19056,46,53,Missouri,241,278
1518,Bollinger County,12363,31,24,Missouri,251,194
1519,Boone County,162642,493,295,Missouri,303,181
1520,Buchanan County,89201,316,233,Missouri,354,261
1521,Butler County,42794,125,147,Missouri,292,344
1522,Caldwell County,9424,23,12,Missouri,244,127
1523,Callaway County,44332,122,129,Missouri,275,291
1524,Camden County,44002,97,80,Missouri,220,182
1525,Cape Girardeau County,75674,229,138,Missouri,303,182
1526,Carroll County,9295,34,40,Missouri,366,430
1527,Carter County,6265,20,23,Missouri,319,367
1528,Cass County,99478,354,235,Missouri,356,236
1529,Cedar County,13982,36,68,Missouri,257,486
1530,Chariton County,7831,18,11,Missouri,230,140
1531,Christian County,77422,258,110,Missouri,333,142
1532,Clark County,7139,16,13,Missouri,224,182
1533,Clay County,221939,783,381,Missouri,353,172
1534,Clinton County,20743,42,31,Missouri,202,149
1535,Cole County,75990,234,116,Missouri,308,153
1536,Cooper County,17601,45,29,Missouri,256,165
1537,Crawford County,24696,68,101,Missouri,275,409
1538,Dade County,7883,15,42,Missouri,190,533
1539,Dallas County,16777,46,60,Missouri,274,358
1540,Daviess County,8433,23,10,Missouri,273,119
1541,DeKalb County,12892,23,17,Missouri,178,132
1542,Dent County,15657,47,29,Missouri,300,185
1543,Douglas County,13684,34,22,Missouri,248,161
1544,Dunklin County,31953,108,77,Missouri,338,241
1545,Franklin County,101492,296,267,Missouri,292,263
1546,Gasconade County,15222,37,52,Missouri,243,342
1547,Gentry County,6738,28,10,Missouri,416,148
1548,Greene County,275174,871,661,Missouri,317,240
1549,Grundy County,10261,41,57,Missouri,400,556
1550,Harrison County,8957,27,13,Missouri,301,145
1551,Henry County,22272,63,96,Missouri,283,431
1552,Hickory County,9627,21,29,Missouri,218,301
1553,Holt County,4912,15,8,Missouri,305,163
1554,Howard County,10144,41,17,Missouri,404,168
1555,Howell County,40400,123,87,Missouri,304,215
1556,Iron County,10630,32,18,Missouri,301,169
1557,Jackson County,674158,2445,1446,Missouri,363,214
1558,Jasper County,117404,414,299,Missouri,353,255
1559,Jefferson County,218733,713,403,Missouri,326,184
1560,Johnson County,52595,192,66,Missouri,365,125
1561,Knox County,4131,10,18,Missouri,242,436
1562,Laclede County,35571,113,58,Missouri,318,163
1563,Lafayette County,33381,108,113,Missouri,324,339
1564,Lawrence County,38634,124,113,Missouri,321,292
1565,Lewis County,10211,28,15,Missouri,274,147
1566,Lincoln County,52566,176,80,Missouri,335,152
1567,Linn County,12761,28,19,Missouri,219,149
1568,Livingston County,15195,50,63,Missouri,329,415
1569,McDonald County,23083,76,44,Missouri,329,191
1570,Macon County,15566,37,24,Missouri,238,154
1571,Madison County,12226,28,23,Missouri,229,188
1572,Maries County,9176,30,33,Missouri,327,360
1573,Marion County,28781,95,61,Missouri,330,212
1574,Mercer County,3785,10,17,Missouri,264,449
1575,Miller County,24748,72,83,Missouri,291,335
1576,Mississippi County,14358,45,74,Missouri,313,515
1577,Moniteau County,15607,46,21,Missouri,295,135
1578,Monroe County,8840,22,34,Missouri,249,385
1579,Montgomery County,12236,32,51,Missouri,262,417
1580,Morgan County,20565,62,85,Missouri,301,413
1581,New Madrid County,18956,62,36,Missouri,327,190
1582,Newton County,58114,182,117,Missouri,313,201
1583,Nodaway County,23370,71,26,Missouri,304,111
1584,Oregon County,10881,33,33,Missouri,303,303
1585,Osage County,13878,38,21,Missouri,274,151
1586,Ozark County,9723,17,15,Missouri,175,154
1587,Pemiscot County,18296,63,32,Missouri,344,175
1588,Perry County,18971,63,68,Missouri,332,358
1589,Pettis County,42201,165,117,Missouri,391,277
1590,Phelps County,45156,143,74,Missouri,317,164
1591,Pike County,18516,50,62,Missouri,270,335
1592,Platte County,89322,278,159,Missouri,311,178
1593,Polk County,31137,77,60,Missouri,247,193
1594,Pulaski County,52274,217,41,Missouri,415,78
1595,Putnam County,4979,16,12,Missouri,321,241
1596,Ralls County,10167,35,31,Missouri,344,305
1597,Randolph County,25414,84,43,Missouri,331,169
1598,Ray County,23494,56,32,Missouri,238,136
1599,Reynolds County,6696,13,32,Missouri,194,478
1600,Ripley County,14100,48,70,Missouri,340,496
1601,St. Charles County,360485,1206,533,Missouri,335,148
1602,St. Clair County,9805,25,48,Missouri,255,490
1603,Ste. Genevieve County,18145,46,55,Missouri,254,303
1604,St. Francois County,65359,196,188,Missouri,300,288
1605,St. Louis County,998954,2843,2224,Missouri,285,223
1606,Saline County,23370,73,37,Missouri,312,158
1607,Schuyler County,4431,18,11,Missouri,406,248
1608,Scotland County,4843,22,31,Missouri,454,640
1609,Scott County,39191,118,76,Missouri,301,194
1610,Shannon County,8441,29,10,Missouri,344,118
1611,Shelby County,6373,24,27,Missouri,377,424
1612,Stoddard County,29968,81,78,Missouri,270,260
1613,Stone County,32202,83,64,Missouri,258,199
1614,Sullivan County,6714,27,9,Missouri,402,134
1615,Taney County,51675,146,117,Missouri,283,226
1616,Texas County,26008,71,90,Missouri,273,346
1617,Vernon County,21159,47,40,Missouri,222,189
1618,Warren County,32513,104,42,Missouri,320,129
1619,Washington County,25195,75,59,Missouri,298,234
1620,Wayne County,13521,34,58,Missouri,251,429
1621,Webster County,36202,130,101,Missouri,359,279
1622,Worth County,2171,5,10,Missouri,230,461
1623,Wright County,18815,54,53,Missouri,287,282
1624,St. Louis city,319294,1242,682,Missouri,389,214
1626,Beaverhead County,9246,19,9,Montana,205,97
1627,Big Horn County,12865,70,26,Montana,544,202
1628,Blaine County,6491,22,6,Montana,339,92
1629,Broadwater County,5612,13,6,Montana,232,107
1630,Carbon County,10078,23,42,Montana,228,417
1631,Carter County,1160,3,0,Montana,259,0
1632,Cascade County,81327,312,230,Montana,384,283
1633,Chouteau County,5813,17,24,Montana,292,413
1634,Custer County,11699,34,42,Montana,291,359
1635,Daniels County,1751,6,12,Montana,343,685
1636,Dawson County,8966,32,19,Montana,357,212
1637,Deer Lodge County,9298,25,40,Montana,269,430
1638,Fallon County,2890,6,2,Montana,208,69
1639,Fergus County,11586,40,52,Montana,345,449
1640,Flathead County,90928,265,189,Montana,291,208
1641,Gallatin County,89513,290,148,Montana,324,165
1642,Garfield County,1206,3,5,Montana,249,415
1643,Glacier County,13399,44,49,Montana,328,366
1644,Golden Valley County,884,0,5,Montana,0,566
1645,Granite County,3079,3,9,Montana,97,292
1646,Hill County,16096,72,35,Montana,447,217
1647,Jefferson County,11406,22,32,Montana,193,281
1648,Judith Basin County,2072,5,2,Montana,241,97
1649,Lake County,28746,79,49,Montana,275,170
1650,Lewis and Clark County,63395,200,174,Montana,315,274
1651,Liberty County,2339,6,7,Montana,257,299
1652,Lincoln County,19687,45,32,Montana,229,163
1653,McCone County,1734,5,1,Montana,288,58
1654,Madison County,7691,12,8,Montana,156,104
1655,Meagher County,1891,3,11,Montana,159,582
1656,Mineral County,4223,16,16,Montana,379,379
1657,Missoula County,109299,323,214,Montana,296,196
1658,Musselshell County,4538,10,4,Montana,220,88
1659,Park County,15636,35,39,Montana,224,249
1660,Petroleum County,494,1,3,Montana,202,607
1661,Phillips County,4253,6,11,Montana,141,259
1662,Pondera County,6153,14,15,Montana,228,244
1663,Powder River County,1743,4,6,Montana,229,344
1664,Powell County,7027,14,27,Montana,199,384
1665,Prairie County,1179,2,9,Montana,170,763
1666,Ravalli County,40212,116,123,Montana,288,306
1667,Richland County,9746,31,17,Montana,318,174
1668,Roosevelt County,10425,58,39,Montana,556,374
1669,Rosebud County,9233,42,32,Montana,455,347
1670,Sanders County,11413,25,19,Montana,219,166
1671,Sheridan County,3384,4,21,Montana,118,621
1672,Silver Bow County,34200,92,121,Montana,269,354
1673,Stillwater County,9117,30,11,Montana,329,121
1674,Sweet Grass County,3651,15,14,Montana,411,383
1675,Teton County,6073,16,24,Montana,263,395
1676,Toole County,5324,16,5,Montana,301,94
1677,Treasure County,718,2,3,Montana,279,418
1678,Valley County,7369,18,11,Montana,244,149
1679,Wheatland County,2168,4,9,Montana,185,415
1680,Wibaux County,1017,0,1,Montana,0,98
1681,Yellowstone County,147972,493,350,Montana,333,237
1683,Adams County,31364,103,104,Nebraska,328,332
1684,Antelope County,6685,30,9,Nebraska,449,135
1685,Arthur County,460,2,0,Nebraska,435,0
1686,Banner County,690,1,1,Nebraska,145,145
1687,Blaine County,478,0,0,Nebraska,0,0
1688,Boone County,5505,18,7,Nebraska,327,127
1689,Box Butte County,11308,25,18,Nebraska,221,159
1690,Boyd County,2099,4,6,Nebraska,191,286
1691,Brown County,3145,10,10,Nebraska,318,318
1692,Buffalo County,46102,162,66,Nebraska,351,143
1693,Burt County,6858,24,31,Nebraska,350,452
1694,Butler County,8395,19,39,Nebraska,226,465
1695,Cass County,25241,71,94,Nebraska,281,372
1696,Cedar County,8852,25,36,Nebraska,282,407
1697,Chase County,3966,13,20,Nebraska,328,504
1698,Cherry County,5713,7,24,Nebraska,123,420
1699,Cheyenne County,9998,32,37,Nebraska,320,370
1700,Clay County,6542,20,25,Nebraska,306,382
1701,Colfax County,10515,41,7,Nebraska,390,67
1702,Cuming County,9139,31,13,Nebraska,339,142
1703,Custer County,10939,29,39,Nebraska,265,357
1704,Dakota County,21006,106,63,Nebraska,505,300
1705,Dawes County,9182,25,22,Nebraska,272,240
1706,Dawson County,24326,90,72,Nebraska,370,296
1707,Deuel County,1941,3,10,Nebraska,155,515
1708,Dixon County,6000,21,6,Nebraska,350,100
1709,Dodge County,36691,96,75,Nebraska,262,204
1710,Douglas County,517110,2087,917,Nebraska,404,177
1711,Dundy County,2008,6,8,Nebraska,299,398
1712,Fillmore County,5890,11,28,Nebraska,187,475
1713,Franklin County,3225,7,4,Nebraska,217,124
1714,Frontier County,2756,6,0,Nebraska,218,0
1715,Furnas County,4959,11,27,Nebraska,222,544
1716,Gage County,22311,62,94,Nebraska,278,421
1717,Garden County,2057,5,3,Nebraska,243,146
1718,Garfield County,2049,1,16,Nebraska,49,781
1719,Gosper County,2044,2,12,Nebraska,98,587
1720,Grant County,614,2,3,Nebraska,326,489
1721,Greeley County,2538,8,4,Nebraska,315,158
1722,Hall County,58607,221,105,Nebraska,377,179
1723,Hamilton County,9124,22,16,Nebraska,241,175
1724,Harlan County,3423,5,2,Nebraska,146,58
1725,Hayes County,967,2,0,Nebraska,207,0
1726,Hitchcock County,2908,9,18,Nebraska,309,619
1727,Holt County,10435,24,23,Nebraska,230,220
1728,Hooker County,736,2,1,Nebraska,272,136
1729,Howard County,6274,20,3,Nebraska,319,48
1730,Jefferson County,7547,10,18,Nebraska,133,239
1731,Johnson County,5217,13,9,Nebraska,249,173
1732,Kearney County,6489,19,30,Nebraska,293,462
1733,Keith County,8368,20,41,Nebraska,239,490
1734,Keya Paha County,824,0,2,Nebraska,0,243
1735,Kimball County,3821,9,3,Nebraska,236,79
1736,Knox County,8701,23,43,Nebraska,264,494
1737,Lancaster County,285407,1035,389,Nebraska,363,136
1738,Lincoln County,36288,117,105,Nebraska,322,289
1739,Logan County,763,3,0,Nebraska,393,0
1740,Loup County,632,0,3,Nebraska,0,475
1741,McPherson County,539,0,1,Nebraska,0,186
1742,Madison County,34876,119,51,Nebraska,341,146
1743,Merrick County,7845,23,32,Nebraska,293,408
1744,Morrill County,5042,15,22,Nebraska,298,436
1745,Nance County,3735,12,5,Nebraska,321,134
1746,Nemaha County,7248,22,34,Nebraska,304,469
1747,Nuckolls County,4500,11,5,Nebraska,244,111
1748,Otoe County,15740,53,69,Nebraska,337,438
1749,Pawnee County,2773,1,6,Nebraska,36,216
1750,Perkins County,2970,6,3,Nebraska,202,101
1751,Phelps County,9188,22,33,Nebraska,239,359
1752,Pierce County,7266,20,10,Nebraska,275,138
1753,Platte County,32237,138,48,Nebraska,428,149
1754,Polk County,5406,8,11,Nebraska,148,203
1755,Red Willow County,11055,29,18,Nebraska,262,163
1756,Richardson County,8363,31,16,Nebraska,371,191
1757,Rock County,1526,1,3,Nebraska,66,197
1758,Saline County,14200,48,27,Nebraska,338,190
1759,Sarpy County,158840,632,142,Nebraska,398,89
1760,Saunders County,20780,70,33,Nebraska,337,159
1761,Scotts Bluff County,36970,153,113,Nebraska,414,306
1762,Seward County,16750,58,47,Nebraska,346,281
1763,Sheridan County,5469,15,28,Nebraska,274,512
1764,Sherman County,3152,7,3,Nebraska,222,95
1765,Sioux County,1311,2,1,Nebraska,153,76
1766,Stanton County,6129,26,2,Nebraska,424,33
1767,Thayer County,5228,12,6,Nebraska,230,115
1768,Thomas County,647,3,0,Nebraska,464,0
1769,Thurston County,6940,39,19,Nebraska,562,274
1770,Valley County,4260,14,15,Nebraska,329,352
1771,Washington County,20234,54,28,Nebraska,267,138
1772,Wayne County,9595,30,23,Nebraska,313,240
1773,Webster County,3812,11,18,Nebraska,289,472
1774,Wheeler County,818,5,1,Nebraska,611,122
1775,York County,13665,49,19,Nebraska,359,139
