"","CTYNAME","CENSUS2010POP","POPESTIMATE2019","BIRTHS2019","DEATHS2019","STNAME"
"3057","Hardy County",14025,13776,147,162,"West Virginia"
"3058","Harrison County",69099,67256,696,877,"West Virginia"
"3059","Jackson County",29211,28576,276,361,"West Virginia"
"3060","Jefferson County",53498,57146,595,515,"West Virginia"
"3061","Kanawha County",193063,178124,1834,2471,"West Virginia"
"3062","Lewis County",16372,15907,139,224,"West Virginia"
"3063","Lincoln County",21720,20409,208,313,"West Virginia"
"3064","Logan County",36743,32019,349,487,"West Virginia"
"3065","McDowell County",22113,17624,174,328,"West Virginia"
"3066","Marion County",56418,56072,594,673,"West Virginia"
"3067","Marshall County",33107,30531,276,388,"West Virginia"
"3068","Mason County",27324,26516,262,367,"West Virginia"
"3069","Mercer County",62264,58758,661,891,"West Virginia"
"3070","Mineral County",28212,26868,249,343,"West Virginia"
"3071","Mingo County",26839,23424,306,372,"West Virginia"
"3072","Monongalia County",96189,105612,1071,731,"West Virginia"
"3073","Monroe County",13502,13275,111,167,"West Virginia"
"3074","Morgan County",17541,17884,153,219,"West Virginia"
"3075","Nicholas County",26233,24496,245,352,"West Virginia"
"3076","Ohio County",44443,41411,401,586,"West Virginia"
"3077","Pendleton County",7695,6969,62,62,"West Virginia"
"3078","Pleasants County",7605,7460,68,76,"West Virginia"
"3079","Pocahontas County",8719,8247,76,127,"West Virginia"
"3080","Preston County",33520,33432,309,364,"West Virginia"
"3081","Putnam County",55486,56450,504,596,"West Virginia"
"3082","Raleigh County",78859,73361,723,1052,"West Virginia"
"3083","Randolph County",29405,28695,319,385,"West Virginia"
"3084","Ritchie County",10449,9554,82,156,"West Virginia"
"3085","Roane County",14926,13688,119,186,"West Virginia"
"3086","Summers County",13927,12573,98,155,"West Virginia"
"3087","Taylor County",16895,16695,129,199,"West Virginia"
"3088","Tucker County",7141,6839,60,128,"West Virginia"
"3089","Tyler County",9208,8591,74,108,"West Virginia"
"3090","Upshur County",24254,24176,221,285,"West Virginia"
"3091","Wayne County",42481,39402,330,537,"West Virginia"
"3092","Webster County",9154,8114,65,114,"West Virginia"
"3093","Wetzel County",16583,15065,141,243,"West Virginia"
"3094","Wirt County",5717,5821,47,54,"West Virginia"
"3095","Wood County",86956,83518,869,1078,"West Virginia"
"3096","Wyoming County",23796,20394,180,346,"West Virginia"
"3098","Adams County",20875,20220,123,252,"Wisconsin"
"3099","Ashland County",16157,15562,179,167,"Wisconsin"
"3100","Barron County",45870,45244,486,470,"Wisconsin"
"3101","Bayfield County",15014,15036,128,211,"Wisconsin"
"3102","Brown County",248007,264542,3194,1817,"Wisconsin"
"3103","Buffalo County",13587,13031,129,126,"Wisconsin"
"3104","Burnett County",15457,15414,123,167,"Wisconsin"
"3105","Calumet County",48971,50089,477,356,"Wisconsin"
"3106","Chippewa County",62415,64658,654,576,"Wisconsin"
"3107","Clark County",34690,34774,568,313,"Wisconsin"
"3108","Columbia County",56833,57532,602,519,"Wisconsin"
"3109","Crawford County",16644,16131,151,181,"Wisconsin"
"3110","Dane County",488073,546695,5772,3375,"Wisconsin"
"3111","Dodge County",88759,87839,771,874,"Wisconsin"
"3112","Door County",27785,27668,214,363,"Wisconsin"
"3113","Douglas County",44159,43150,397,430,"Wisconsin"
"3114","Dunn County",43857,45368,430,320,"Wisconsin"
"3115","Eau Claire County",98736,104646,1154,756,"Wisconsin"
"3116","Florence County",4423,4295,27,47,"Wisconsin"
"3117","Fond du Lac County",101633,103403,1068,911,"Wisconsin"
"3118","Forest County",9304,9004,97,104,"Wisconsin"
"3119","Grant County",51208,51439,561,471,"Wisconsin"
"3120","Green County",36842,36960,366,369,"Wisconsin"
"3121","Green Lake County",19051,18913,202,215,"Wisconsin"
"3122","Iowa County",23687,23678,248,190,"Wisconsin"
"3123","Iron County",5916,5687,33,91,"Wisconsin"
"3124","Jackson County",20449,20643,220,164,"Wisconsin"
"3125","Jefferson County",83686,84769,835,694,"Wisconsin"
"3126","Juneau County",26664,26687,270,255,"Wisconsin"
"3127","Kenosha County",166426,169561,1831,1369,"Wisconsin"
"3128","Kewaunee County",20574,20434,196,192,"Wisconsin"
"3129","La Crosse County",114638,118016,1160,997,"Wisconsin"
"3130","Lafayette County",16836,16665,206,152,"Wisconsin"
"3131","Langlade County",19977,19189,188,236,"Wisconsin"
"3132","Lincoln County",28743,27593,264,291,"Wisconsin"
"3133","Manitowoc County",81442,78981,757,816,"Wisconsin"
"3134","Marathon County",134063,135692,1480,1116,"Wisconsin"
"3135","Marinette County",41749,40350,375,487,"Wisconsin"
"3136","Marquette County",15404,15574,135,169,"Wisconsin"
"3137","Menominee County",4232,4556,84,69,"Wisconsin"
"3138","Milwaukee County",947735,945726,12941,8226,"Wisconsin"
"3139","Monroe County",44673,46253,559,435,"Wisconsin"
"3140","Oconto County",37660,37930,369,391,"Wisconsin"
"3141","Oneida County",35998,35595,319,461,"Wisconsin"
"3142","Outagamie County",176695,187885,2181,1320,"Wisconsin"
"3143","Ozaukee County",86395,89221,850,836,"Wisconsin"
"3144","Pepin County",7469,7287,78,93,"Wisconsin"
"3145","Pierce County",41019,42754,380,290,"Wisconsin"
"3146","Polk County",44205,43783,402,444,"Wisconsin"
"3147","Portage County",70019,70772,658,503,"Wisconsin"
"3148","Price County",14159,13351,119,142,"Wisconsin"
"3149","Racine County",195408,196311,2257,1664,"Wisconsin"
"3150","Richland County",18021,17252,164,187,"Wisconsin"
"3151","Rock County",160331,163354,1877,1471,"Wisconsin"
"3152","Rusk County",14755,14178,139,163,"Wisconsin"
"3153","St. Croix County",84345,90687,992,641,"Wisconsin"
"3154","Sauk County",61976,64442,728,606,"Wisconsin"
"3155","Sawyer County",16557,16558,150,204,"Wisconsin"
"3156","Shawano County",41949,40899,449,376,"Wisconsin"
"3157","Sheboygan County",115507,115340,1226,1079,"Wisconsin"
"3158","Taylor County",20689,20343,210,188,"Wisconsin"
"3159","Trempealeau County",28816,29649,425,253,"Wisconsin"
"3160","Vernon County",29773,30822,412,326,"Wisconsin"
"3161","Vilas County",21430,22195,182,308,"Wisconsin"
"3162","Walworth County",102228,103868,924,947,"Wisconsin"
"3163","Washburn County",15911,15720,133,225,"Wisconsin"
"3164","Washington County",131887,136034,1285,1161,"Wisconsin"
"3165","Waukesha County",389891,404198,3851,3587,"Wisconsin"
"3166","Waupaca County",52410,50990,511,724,"Wisconsin"
"3167","Waushara County",24496,24443,205,243,"Wisconsin"
"3168","Winnebago County",166994,171907,1783,1497,"Wisconsin"
"3169","Wood County",74749,72999,798,724,"Wisconsin"
"3171","Albany County",36299,38880,341,198,"Wyoming"
"3172","Big Horn County",11668,11790,131,120,"Wyoming"
"3173","Campbell County",46133,46341,597,323,"Wyoming"
"3174","Carbon County",15885,14800,176,119,"Wyoming"
"3175","Converse County",13833,13822,154,111,"Wyoming"
"3176","Crook County",7083,7584,103,70,"Wyoming"
"3177","Fremont County",40123,39261,505,485,"Wyoming"
"3178","Goshen County",13249,13211,132,142,"Wyoming"
"3179","Hot Springs County",4812,4413,37,71,"Wyoming"
"3180","Johnson County",8569,8445,67,92,"Wyoming"
"3181","Laramie County",91738,99500,1269,874,"Wyoming"
"3182","Lincoln County",18106,19830,222,138,"Wyoming"
"3183","Natrona County",75450,79858,953,734,"Wyoming"
"3184","Niobrara County",2484,2356,28,14,"Wyoming"
"3185","Park County",28205,29194,283,271,"Wyoming"
"3186","Platte County",8667,8393,74,109,"Wyoming"
"3187","Sheridan County",29116,30485,308,346,"Wyoming"
"3188","Sublette County",10247,9831,88,80,"Wyoming"
"3189","Sweetwater County",43806,42343,506,298,"Wyoming"
"3190","Teton County",21294,23464,228,75,"Wyoming"
"3191","Uinta County",21118,20226,255,136,"Wyoming"
"3192","Washakie County",8533,7805,83,90,"Wyoming"
"3193","Weston County",7208,6927,61,75,"Wyoming"
